Epoch: 167, aver_loss : 0.03604, R@20: 0.0351, N@20: 0.0274, time:83.43 seconds
Epoch: 168, aver_loss : 0.03557, R@20: 0.0352, N@20: 0.0275, time:83.42 seconds
Epoch: 169, aver_loss : 0.03547, R@20: 0.0353, N@20: 0.0275, time:83.44 seconds
Epoch: 170, aver_loss : 0.03546, R@20: 0.0353, N@20: 0.0276, time:83.42 seconds
Epoch: 171, aver_loss : 0.03557, R@20: 0.0354, N@20: 0.0276, time:83.43 seconds
Epoch: 172, aver_loss : 0.03536, R@20: 0.0353, N@20: 0.0276, time:83.41 seconds
Epoch: 173, aver_loss : 0.03503, R@20: 0.0353, N@20: 0.0276, time:83.44 seconds
Epoch: 174, aver_loss : 0.03489, R@20: 0.0353, N@20: 0.0276, time:83.42 seconds
Epoch: 175, aver_loss : 0.03487, R@20: 0.0353, N@20: 0.0277, time:83.43 seconds
Epoch: 176, aver_loss : 0.03488, R@20: 0.0355, N@20: 0.0277, time:83.42 seconds
Epoch: 177, aver_loss : 0.03473, R@20: 0.0356, N@20: 0.0278, time:83.44 seconds
Epoch: 178, aver_loss : 0.03438, R@20: 0.0356, N@20: 0.0278, time:83.42 seconds
Epoch: 179, aver_loss : 0.03428, R@20: 0.0356, N@20: 0.0278, time:83.44 seconds
Epoch: 180, aver_loss : 0.03435, R@20: 0.0355, N@20: 0.0278, time:83.43 seconds
Epoch: 181, aver_loss : 0.03414, R@20: 0.0355, N@20: 0.0278, time:83.42 seconds
Epoch: 182, aver_loss : 0.03397, R@20: 0.0354, N@20: 0.0278, time:83.42 seconds
Epoch: 183, aver_loss : 0.03358, R@20: 0.0355, N@20: 0.0278, time:83.45 seconds
Epoch: 184, aver_loss : 0.03383, R@20: 0.0356, N@20: 0.0279, time:83.43 seconds
Epoch: 185, aver_loss : 0.03351, R@20: 0.0355, N@20: 0.0278, time:83.43 seconds
Epoch: 186, aver_loss : 0.03356, R@20: 0.0356, N@20: 0.0279, time:83.42 seconds
Epoch: 187, aver_loss : 0.03352, R@20: 0.0356, N@20: 0.0279, time:83.42 seconds
Epoch: 188, aver_loss : 0.03340, R@20: 0.0356, N@20: 0.0279, time:83.42 seconds
Epoch: 189, aver_loss : 0.03340, R@20: 0.0357, N@20: 0.0280, time:83.44 seconds
Epoch: 190, aver_loss : 0.03311, R@20: 0.0356, N@20: 0.0279, time:83.42 seconds
Epoch: 191, aver_loss : 0.03315, R@20: 0.0356, N@20: 0.0280, time:83.43 seconds
Epoch: 192, aver_loss : 0.03288, R@20: 0.0357, N@20: 0.0280, time:83.42 seconds
Epoch: 193, aver_loss : 0.03288, R@20: 0.0357, N@20: 0.0280, time:83.44 seconds
Epoch: 194, aver_loss : 0.03283, R@20: 0.0357, N@20: 0.0281, time:83.42 seconds
Epoch: 195, aver_loss : 0.03276, R@20: 0.0359, N@20: 0.0281, time:83.43 seconds
Epoch: 196, aver_loss : 0.03274, R@20: 0.0359, N@20: 0.0281, time:83.41 seconds
Epoch: 197, aver_loss : 0.03264, R@20: 0.0358, N@20: 0.0281, time:83.42 seconds
Epoch: 198, aver_loss : 0.03239, R@20: 0.0358, N@20: 0.0281, time:83.41 seconds
Epoch: 199, aver_loss : 0.03212, R@20: 0.0359, N@20: 0.0282, time:83.43 seconds
Epoch: 200, aver_loss : 0.03193, R@20: 0.0360, N@20: 0.0282, time:83.43 seconds
Epoch: 201, aver_loss : 0.03188, R@20: 0.0360, N@20: 0.0283, time:83.44 seconds
Epoch: 202, aver_loss : 0.03183, R@20: 0.0361, N@20: 0.0283, time:83.42 seconds
Epoch: 203, aver_loss : 0.03208, R@20: 0.0362, N@20: 0.0284, time:83.43 seconds
Epoch: 204, aver_loss : 0.03165, R@20: 0.0363, N@20: 0.0284, time:83.42 seconds
Epoch: 205, aver_loss : 0.03175, R@20: 0.0362, N@20: 0.0284, time:83.45 seconds
Epoch: 206, aver_loss : 0.03156, R@20: 0.0362, N@20: 0.0284, time:83.42 seconds
Epoch: 207, aver_loss : 0.03149, R@20: 0.0362, N@20: 0.0284, time:83.43 seconds
Epoch: 208, aver_loss : 0.03135, R@20: 0.0362, N@20: 0.0284, time:83.44 seconds
Epoch: 209, aver_loss : 0.03139, R@20: 0.0362, N@20: 0.0284, time:83.44 seconds
Epoch: 210, aver_loss : 0.03112, R@20: 0.0362, N@20: 0.0284, time:83.44 seconds
Epoch: 211, aver_loss : 0.03126, R@20: 0.0362, N@20: 0.0284, time:83.45 seconds
Epoch: 212, aver_loss : 0.03099, R@20: 0.0362, N@20: 0.0284, time:83.52 seconds
Epoch: 213, aver_loss : 0.03101, R@20: 0.0362, N@20: 0.0285, time:83.47 seconds
Epoch: 214, aver_loss : 0.03094, R@20: 0.0363, N@20: 0.0285, time:83.59 seconds
Epoch: 215, aver_loss : 0.03090, R@20: 0.0364, N@20: 0.0285, time:83.53 seconds
Epoch: 216, aver_loss : 0.03070, R@20: 0.0364, N@20: 0.0285, time:83.44 seconds
Epoch: 217, aver_loss : 0.03070, R@20: 0.0364, N@20: 0.0286, time:83.46 seconds
Epoch: 218, aver_loss : 0.03072, R@20: 0.0363, N@20: 0.0285, time:83.45 seconds
Epoch: 219, aver_loss : 0.03044, R@20: 0.0363, N@20: 0.0286, time:83.47 seconds
Epoch: 220, aver_loss : 0.03039, R@20: 0.0364, N@20: 0.0286, time:83.46 seconds
Epoch: 221, aver_loss : 0.03031, R@20: 0.0365, N@20: 0.0286, time:83.52 seconds
Epoch: 222, aver_loss : 0.03018, R@20: 0.0365, N@20: 0.0286, time:83.47 seconds
Epoch: 223, aver_loss : 0.03011, R@20: 0.0365, N@20: 0.0286, time:83.45 seconds
Epoch: 224, aver_loss : 0.02991, R@20: 0.0364, N@20: 0.0286, time:83.49 seconds
Epoch: 225, aver_loss : 0.02998, R@20: 0.0364, N@20: 0.0286, time:83.46 seconds
Epoch: 226, aver_loss : 0.02988, R@20: 0.0366, N@20: 0.0287, time:83.45 seconds
Epoch: 227, aver_loss : 0.02968, R@20: 0.0366, N@20: 0.0287, time:83.46 seconds
Epoch: 228, aver_loss : 0.02962, R@20: 0.0365, N@20: 0.0287, time:83.46 seconds
Epoch: 229, aver_loss : 0.02956, R@20: 0.0366, N@20: 0.0287, time:83.53 seconds
